任务名称	小怪	小怪秒均	小怪怪均	水免	高危
5102枫丹廷北	23 	5.31 	44.80 	0	0
5201枫丹优兰湖西	14 	5.08 	43.96 	0	0
5202枫丹垂柳西北	8 	3.26 	45.53 	0	0
5203枫丹垂柳东南	13 	4.28 	40.67 	0	0
5204(水免)枫丹垂柳东南	12 	6.07 	47.08 	0	0
5205枫丹垂柳东南	6 	2.94 	39.29 	0	0
5206枫丹垂柳东南	10 	3.35 	41.56 	0	0
5207枫丹柔灯港北	15 	3.83 	40.66 	0	0
5208枫丹幽林东北	12 	4.28 	39.07 	0	0
52092枫丹露景泉东	11 	2.89 	46.41 	0	0
5209枫丹露景泉东	2 	3.11 	59.63 	0	0
5210枫丹幽林东北	10 	4.20 	39.13 	0	0
5301枫丹卡布堡南	10 	3.80 	40.08 	0	0
5302枫丹卡布堡南	7 	2.32 	40.43 	0	0
5303枫丹卡布堡北	7 	2.61 	64.79 	0	0
5401枫丹秋分东南	5 	5.61 	65.15 	0	0
5402枫丹秋分山东	12 	2.96 	38.96 	0	0
5403枫丹螃蟹北	16 	3.48 	42.19 	0	0
5501枫丹螃蟹西	20 	3.99 	44.88 	0	0
5502枫丹苍晶南山峰西	16 	3.62 	49.28 	0	0
5503枫丹厄里东北	9 	3.36 	43.81 	0	0
5601枫丹场力东南(水免)	16 	2.84 	47.63 	1	0
5602枫丹场力东南	18 	3.24 	45.53 	0	0
5603枫丹场力北	16 	3.21 	51.65 	0	0
5604枫丹中央遗址北	8 	2.96 	52.52 	0	0
5605枫丹中央遗址北(高危)	6 	2.18 	46.30 	0	1
5606枫丹新科学院	6 	2.57 	56.58 	0	0
5607枫丹新科学院	9 	2.49 	50.03 	0	0
5608枫丹新科学院	15 	3.30 	50.65 	0	0
5609(高危)枫丹千年骏麟	14 	3.85 	53.95 	0	1
6101--纳塔_镜璧山_西海岸1_(8-13)	18 	3.80 	54.60 	0	0
6102--纳塔_镜璧山_西海岸2_(8-6)	14 	4.25 	61.96 	0	0
6103--纳塔_镜璧山_西海岸3_(5-3)	8 	5.66 	66.53 	0	0
6104--纳塔_镜璧山_中部1_(8-6)	15 	4.19 	65.44 	0	0
6105--纳塔_镜璧山_神像1_(4-0)	3 	4.97 	85.58 	0	0
6106--纳塔_镜璧山_中部2	13 	5.45 	60.98 	0	0
6107--纳塔_镜璧山_神像2_(9-6)	15 	6.20 	62.98 	0	0
6201--纳塔_奥奇_西北海岸_(8-1)	13 	4.49 	65.52 	0	0
6203--纳塔_奥奇_中层悬崖_11-2)	11 	3.21 	73.81 	0	0
6204--纳塔_奥奇_神像_(7-1)	8 	4.60 	75.97 	0	0
6205--纳塔_奥奇_东北岛屿_(5-1)	6 	3.10 	72.00 	0	0
6301--纳塔_翘枝崖_神像_(8-3)	10 	4.24 	71.51 	0	0
6302--纳塔_翘枝崖_北海岸_(3-5)	9 	3.89 	55.59 	0	0
6303--纳塔_翘枝崖_花语会南_(3-6)	9 	3.29 	57.06 	0	0
6304--纳塔_翘枝崖_花语会南2_(3-9)	12 	4.30 	52.90 	0	0
6305--纳塔_翘枝崖_花语会南3_(4-4)	7 	3.60 	59.21 	0	0
6306--纳塔_翘枝崖_柴薪之丘_(11-18)	32 	5.80 	54.93 	0	0
6401--纳塔_万火之瓯_竞技场_(14-17)	29 	5.21 	59.94 	0	0
6402--纳塔_万火之瓯_竞技场2_(3-4)	7 	3.98 	59.74 	0	0
6403--纳塔_万火之瓯_竞技场3_(4-3)	4 	3.29 	59.92 	0	0
6404--纳塔_万火之瓯_竞技场4_(12-11)	23 	5.73 	59.99 	0	0
6405--纳塔_万火之瓯_竞技场5_(3-5)	6 	6.17 	56.58 	0	0
6406--纳塔_万火之瓯_悬木人_(6-6)	12 	5.74 	59.35 	0	0
6407--纳塔_万火之瓯_悬木人_(5-4)	9 	4.81 	62.97 	0	0
6501--纳塔_坚岩隘谷_硫晶支脉_(6-4)	14 	6.01 	63.68 	0	0
6502--纳塔_坚岩隘谷_硫晶支脉2_(4-9)	13 	4.01 	51.29 	0	0
6503--纳塔_坚岩隘谷_隆崛坡_(6-1)	11 	4.15 	62.04 	0	0
6504--纳塔_坚岩隘谷_硫晶支脉3_(16-13)	33 	4.44 	65.02 	0	0
6505--纳塔_坚岩隘谷_回声之子_(7-13)	12 	3.76 	53.98 	0	0
6506--纳塔_坚岩隘谷_回声之子_(8-9)	17 	6.24 	59.04 	0	0
6507--纳塔_坚岩隘谷_中部河流_(15-9)	25 	5.80 	60.70 	0	0
6508--纳塔_坚岩隘谷_硫晶支脉4_(6-2)	7 	3.33 	73.86 	0	0
6509--纳塔_坚岩隘谷_南侧崖壁_(5-5)	9 	3.91 	61.08 	0	0
6510--纳塔_坚岩隘谷_南侧崖壁_(8-13)	20 	4.99 	54.51 	0	0
6511--纳塔_坚岩隘谷_隆崛坡2_(2-3)	5 	3.71 	58.75 	0	0
6601--纳塔_涌流地_北侧山脉_(2-4)	4 	4.31 	60.18 	0	0
6602--纳塔_涌流地_北侧山脉2_(11-7)	28 	5.05 	56.57 	0	0
6603--纳塔_涌流地_秘境西侧_(2-7)	9 	5.27 	51.78 	0	0
6604--纳塔_涌流地_秘境南侧_(2-7)	16 	5.64 	52.39 	0	0
6605--纳塔_涌流地_溶水域_(6-0)	5 	3.03 	82.11 	0	0
6606--纳塔_涌流地_溶水域2_(4-3)	7 	4.22 	62.32 	0	0
6607--纳塔_涌流地_溶水域3_(11-5)	14 	4.88 	56.35 	0	0
6608--纳塔_涌流地_溶水域4_(2-3)	5 	3.26 	56.74 	0	0
6609--纳塔_涌流地_南侧小岛_(5-8)	8 	5.37 	58.48 	0	0
6610--纳塔_涌流地_东侧小岛_(10-14)	17 	4.07 	57.56 	0	0
6611--纳塔_涌流地_中央神像_(9-8)	13 	4.69 	61.57 	0	0
6701--纳塔_踞石山_庙宇北侧_(3-5)	8 	3.81 	54.00 	0	0
6702--纳塔_踞石山_庙宇北侧_(1-11)	14 	2.93 	43.27 	0	0
6703--纳塔_踞石山_北侧主峰_(10-9)	14 	4.38 	60.09 	0	0
6704--纳塔_踞石山_东侧海边_(3-7)	10 	6.43 	53.50 	0	0
6705--纳塔_踞石山_彩石顶_(10-4)	13 	3.36 	64.46 	0	0
6706--纳塔_踞石山_彩石顶2_(7-16)	21 	4.35 	51.15 	0	0
6707--纳塔_踞石山_庙宇_(9-11)	19 	5.04 	59.42 	0	0
6708--纳塔_踞石山_彩石顶3_(6-9)	14 	5.73 	54.29 	0	0
6801--纳塔_安饶之野_镜壁山东南_(20)	19 	4.25 	61.29 	0	0
6802--纳塔_安饶之野_镜壁山西南_(23)	25 	5.30 	71.35 	0	0
6803--纳塔_熔岩辉龙像东南_(5)	5 	2.95 	77.06 	0	0
6804--纳塔_安饶之野东北海岸_(8)	6 	2.67 	82.18 	0	0
6805--纳塔_安饶之野东岩浆池_(5)	7 	4.05 	53.92 	0	0
6806--纳塔_安饶之野东斜坡_(16)	15 	5.88 	53.51 	0	0
6807--纳塔_安饶之野神像_(8)	8 	4.65 	60.16 	0	0
6808--纳塔_安饶之野_沃陆之邦北小岛_(14)	12 	4.04 	60.76 	0	0
6809--纳塔_安饶之野_石火坠陨处_(12)	11 	5.19 	47.70 	0	0
6810--纳塔_安饶之野西南_(21)	21 	5.47 	64.90 	0	0
6811--纳塔_安饶之野_荒废弃造坞_(10)	9 	3.39 	51.50 	0	0
6812--纳塔_安饶之野_孑遗的留迹东南_(20)	20 	3.67 	44.59 	0	0
6813--纳塔_安饶之野西北_(8)	8 	4.31 	53.75 	0	0
