关键词数据	是否传奇	是否水免	是否次数盾	是否高危	怪物数量	600	400	200	秒均	路线名称
321稻妻鹤馆（400_3，200_4）3兽境猎犬 3兽境幼兽 1丘丘暴徒	0	0	0	0	7	0	3	4	18.25	321稻妻鹤馆（400_3，200_4）
322稻妻渊下宫蛇肠之路南（200_2）	0	0	0	0	2	0	0	2	11.11	322稻妻渊下宫蛇肠之路南（200_2）
323稻妻渊下宫蛇肠之路东（200_4）	0	0	0	0	4	0	0	4	15.09	323稻妻渊下宫蛇肠之路东（200_4）
324稻妻渊下宫狭间之街西南（200_5）	0	0	0	0	5	0	0	5	9.52	324稻妻渊下宫狭间之街西南（200_5）
325稻妻渊下宫狭间之街西（200_9）	0	0	0	0	9	0	0	9	9.89	325稻妻渊下宫狭间之街西（200_9）
326稻妻渊下宫狭间之街西北（600_2，200_2）	0	0	0	0	4	2	0	2	11.8	326稻妻渊下宫狭间之街西北（600_2，200_2）
327稻妻渊下宫狭间之街东南（200_6）	0	0	0	0	6	0	0	6	5.5	327稻妻渊下宫狭间之街到东南（200_6）
328稻妻渊下宫狭间之街东北（600_1，200_3）	0	0	0	0	4	1	0	3	13.35	328稻妻渊下宫狭间之街到东北（600_1，200_3）
329稻妻渊下宫大日御舆北小岛（600_1，200_1）	0	0	0	0	2	1	0	1	11.49	329稻妻渊下宫大日御舆北小岛（600_1，200_1）
330【水免】【高危】稻妻渊下宫大日御舆西（600_1，200_7）	0	1	0	1	8	1	0	7	10.09	330【水免】【高危】稻妻渊下宫大日御舆西（600_1，200_7）
331稻妻渊下宫大日御舆东（200_3）	0	0	0	0	3	0	0	3	8.33	331稻妻渊下宫大日御舆东（200_3）
332稻妻渊下宫常夜灵庙东北（600_2，200_7）	0	0	0	0	9	2	0	7	18.71	332稻妻渊下宫常夜灵庙东北（600_2，200_7）
333稻妻渊下宫常夜灵庙西南（200_7）	0	0	0	0	7	0	0	7	9.79	333稻妻渊下宫常夜灵庙西南（200_7）
334稻妻渊下宫常夜灵庙南（600_1，200_3）	0	0	0	0	4	1	0	3	15.18	334稻妻渊下宫常夜灵庙南（600_1，200_3）
335【高危】稻妻渊下宫蛇心之地西北（600_1）	0	0	0	1	1	1	0	0	10.34	335【高危】稻妻渊下宫蛇心之地西北（600_1）
336稻妻渊下宫蛇心之地（600_2，200_2）	0	0	0	0	4	2	0	2	14.41	336稻妻渊下宫蛇心之地（600_2，200_2）
337【高危】稻妻渊下宫蛇心之地东（600_1，200_4）	0	0	0	1	5	1	0	4	11.67	337【高危】稻妻渊下宫蛇心之地东（600_1，200_4）
338【水免】【高危】稻妻渊下宫蛇心之地南小岛（600_1，200_1）	0	1	0	1	2	1	0	1	6.06	338【水免】【高危】稻妻渊下宫蛇心之地南小岛（600_1，200_1）
401须弥降诸魔山神像（600_1）1遗迹重机	0	0	0	0	1	1	0	0	17.14	401须弥降诸魔山神像（600_1）
402须弥香醉坡（200_1）1遗迹龙兽	0	0	0	0	1	0	0	1	4.88	402须弥香醉坡（200_1）
403须弥茸蕈窟（200_4）1遗迹龙兽 1藏镜仕女 1萤术士 1遗迹守卫	0	0	0	0	4	0	0	4	6.56	403须弥茸蕈窟（200_4）
404须弥二净甸（200_3）3遗迹龙兽	0	0	0	0	3	0	0	3	4.44	404须弥二净甸（200_3）
405须弥觉王之殿南（600_1，200_1）1丘丘王 1丘丘暴徒	0	0	0	0	2	1	0	1	8.54	405须弥觉王之殿南（600_1，200_1）
406须弥往昔的桓那兰那（400_2，200_2）2兽境猎犬 2兽境幼兽	0	0	0	0	4	0	2	2	20	406须弥往昔的桓那兰那（400_2，200_2）
407须弥善见地（600_1，200_1）1丘丘王 1丘丘暴徒	0	0	0	0	2	1	0	1	12.08	407须弥善见地（600_1，200_1）
408须弥茶诃之座（600_2）2丘丘王	0	0	0	0	2	2	0	0	27.91	408须弥茶诃之座2丘丘王（600_2）
409须弥茶诃之座（200_9）3丘丘暴徒 7遗迹守卫	0	0	0	0	9	0	0	9	8.04	409须弥茶诃之座（200_9）
410须弥沙漠丰饶绿洲（200_2）2元能构装体	0	0	0	0	2	0	0	2	8.7	410须弥沙漠丰饶绿洲（200_2）
411须弥沙漠饱饮之丘东（600_1）1丘丘王	0	0	0	0	1	1	0	0	14.18	411须弥沙漠饱饮之丘东（600_1）
412须弥沙漠圣显厅北（600_1，200_1）1遗迹重机 1圣骸兽	0	0	0	0	2	1	0	1	7.84	412须弥沙漠圣显厅北（600_1，200_1）
413须弥沙漠圣显厅门口（200_7） 5元能构装体 2丘丘暴徒	0	0	0	0	7	0	0	7	13.44	413须弥沙漠圣显厅门口（200_7） 
414须弥沙漠沙虫隧道（600_1）1遗迹重机	0	0	0	0	1	1	0	0	12.77	414须弥沙漠沙虫隧道（600_1）
415须弥沙漠避让之丘（200_2）2元能构装体	0	0	0	0	2	0	0	2	8.7	415须弥沙漠避让之丘（200_2）
416须弥沙漠五绿洲的子遗地下（600_1，200_3）1遗迹重机 3元能构装体	0	0	0	0	4	1	0	3	10.53	416须弥沙漠五绿洲的子遗地下（600_1，200_3）
417须弥沙漠三运河之地北（600_1）1遗迹重机	0	0	0	0	1	1	0	0	11.73	417须弥沙漠三运河之地北（600_1）
501枫丹城（200_3）3浊水幻灵	0	1	0	0	3	0	0	3	10.75	501枫丹城 浊水幻灵（200_3）
502【高危】枫丹芒索斯山东麓（200_3）3役人	0	0	0	1	3	0	0	3	4.65	502【高危】枫丹芒索斯山东麓（200_3）
503枫丹实验室遗址东（600_1，200_4）1丘丘王 1丘丘游侠 2丘丘暴徒 1法师	0	0	0	0	5	1	0	4	10.02	503枫丹实验室遗址东（600_1，200_4）
504枫丹茉洁站（200_7）6龙蜥 1丘丘暴徒	0	0	0	0	7	0	0	7	12.75	504枫丹茉洁站（200_7）
505枫丹茉洁站北（200_6）5浊水幻灵 1丘丘暴徒	0	1	0	0	6	0	0	6	8.27	505枫丹茉洁站北 浊水幻灵（200_6）
506枫丹湖中垂柳（200_2）2浊水幻灵	0	1	0	0	2	0	0	2	4.6	506枫丹湖中垂柳 浊水幻灵（200_2）
507枫丹幽林雾道（600_1，200_2）1丘丘王 1丘丘暴徒 1丘丘游侠	0	0	0	0	3	1	0	2	14.78	507枫丹幽林雾道（600_1，200_2）
508枫丹厄里那斯北（600_2，400_4，200_7）	0	0	0	0	13	2	4	7	13.85	508枫丹厄里那斯北（600_2，400_4，200_7）
509枫丹厄里那斯西（600_1，400_1，200_4）1遗迹重机 1大型碎石隙境原体 2碎石隙境原体 2遗迹猎者	0	0	0	0	6	1	1	4	12.5	509枫丹厄里那斯西（600_1，400_1，200_4）
510枫丹厄里那斯南（400_2，200_5）2大型碎石隙境原体 5碎石隙境原体	0	0	0	0	7	0	2	5	18.75	510枫丹厄里那斯南（400_2，200_5）
511枫丹苍晶区f6（600_1，200_10）1丘丘王 4遗迹守卫 2遗迹机兵 2丘丘暴徒 1债务处理人 1萤术士	0	0	0	0	11	1	0	10	10.13	511枫丹苍晶区f6（600_1，200_10）
512枫丹苍晶区神像（200_2）	0	0	0	0	2	0	0	2	8.89	512枫丹苍晶区神像（200_2）
513枫丹厄里那斯东（200_2）2浊水幻灵	0	1	0	0	2	0	0	2	8	513枫丹厄里那斯东 浊水幻灵（200_2）
514枫丹秋分山西侧（200_6）3浊水幻灵 1丘丘暴徒 2风役人	0	1	0	0	6	0	0	6	7.67	514枫丹秋分山西侧 浊水幻灵（200_6）
515枫丹秋分山东 浊水幻灵（200_6）3浊水幻灵 2风役人 1藏镜仕女	0	1	0	0	6	0	0	6	9.3	515枫丹秋分山东 浊水幻灵（200_6）
516枫丹卡布狄斯堡（600_1，200_1）1丘丘王 1浊水幻灵	0	1	0	0	2	1	0	1	9.89	516枫丹卡布狄斯堡 浊水幻灵（600_1，200_1）
517枫丹莫尔泰区（200_4）2丘丘暴徒 2浊水幻灵	0	1	0	0	4	0	0	4	8.9	517枫丹莫尔泰区 浊水幻灵（200_4）
518枫丹佩特莉可镇（200_3）3浊水幻灵	0	1	0	0	3	0	0	3	11.11	518枫丹佩特莉可镇 浊水幻灵（200_3）
601纳塔奥奇（600_1，400_1）1遗迹重机 1次数盾	0	0	1	0	2	1	1	0	9.59	601纳塔奥奇（600_1，400_1）次数盾
602纳塔奥奇（600_3）3次数盾	0	0	1	0	3	3	0	0	13.46	602纳塔奥奇（600_3）次数盾
603纳塔奥奇（600_4）4次数盾	0	0	1	0	4	4	0	0	11.01	603纳塔奥奇（600_4）次数盾
604纳塔奥奇（400_3，200_9）8次数盾 1遗迹守卫 2丘丘暴徒 1秘源机兵	0	0	1	0	12	0	3	9	8.6	604纳塔奥奇（400_3，200_9）次数盾
605纳塔奥奇（600_1）1次数盾	0	0	1	0	1	1	0	0	9.84	605纳塔奥奇（600_1）次数盾
606纳塔奥奇（400_2，200_2）4次数盾,最后一只游侠、丘丘暴徒=400;秘源机兵=600	0	0	1	0	4	1	1	2	7.77	606纳塔奥奇（400_2，200_2）次数盾
607纳塔奥奇东南岛（200_2）2遗迹守卫	0	0	0	0	2	0	0	2	10	607纳塔奥奇东南岛（200_2）
608纳塔城（200_5）5秘源机兵	0	0	0	0	5	0	0	5	5.41	608纳塔城（200_5）
609纳塔溶水域南（200_3）3秘源机兵	0	0	0	0	3	0	0	3	4.51	609纳塔溶水域南（200_3）
610纳塔硫晶支脉（200_1）1秘源机兵	0	0	0	0	1	0	0	1	4.76	610纳塔硫晶支脉（200_1）
611纳塔火山安饶之野东北边缘（200_1）1丘丘游侠 6大角龙	0	0	0	0	1	0	0	1	10.74	611纳塔火山安饶之野东北边缘（200_1）
612纳塔火山安饶之野入口（600_1，200_1）1丘丘王 1丘丘暴徒	0	0	0	0	2	1	0	1	12.97	612纳塔火山安饶之野入口（600_1，200_1）
613纳塔火山孑遗的留迹（200_1）1炉壳山鼬	0	0	0	0	1	0	0	1	2.13	613纳塔火山孑遗的留迹 炉壳山鼬（200_1）
614纳塔火山安饶之野南（200_1）1炉壳山鼬	0	0	0	0	1	0	0	1	5.58	614纳塔火山安饶之野南 炉壳山鼬（200_1）
615纳塔火山安饶之野西（200_1）1炉壳山鼬	0	0	0	0	1	0	0	1	4.31	615纳塔火山安饶之野西 炉壳山鼬（200_1）
616纳塔火山安饶之野西北海滩（200_2）1大显圣灵 1丘丘游侠	0	0	0	0	2	0	0	2	4.44	616纳塔火山安饶之野西北海滩（200_2）
