是否传奇	是否水免	是否次数盾	是否高危	怪物数量	600	400	200	秒均	路线名称
0	1	0	0	2	0	0	2	4.60 	506枫丹湖中垂柳 浊水幻灵（200_2）
0	0	0	0	3	1	0	2	14.78 	507枫丹幽林雾道（600_1，200_2）
0	0	0	0	13	2	4	7	13.85 	508枫丹厄里那斯北（600_2，400_4，200_7）
0	0	0	0	6	1	1	4	12.50 	509枫丹厄里那斯西（600_1，400_1，200_4）
0	0	0	0	7	0	2	5	18.75 	510枫丹厄里那斯南（400_2，200_5）
0	0	0	0	12	1	0	11	10.90 	511枫丹苍晶区f6（600_1，200_11）
0	0	0	0	2	0	0	2	8.89 	512枫丹苍晶区神像（200_2）
0	1	0	0	2	0	0	2	8.00 	513枫丹厄里那斯东 浊水幻灵（200_2）
0	1	0	0	6	0	0	6	7.67 	514枫丹秋分山西侧 浊水幻灵（200_6）
0	1	0	0	6	0	0	6	9.30 	515枫丹秋分山东 浊水幻灵（200_6）
0	1	0	0	3	1	0	2	12.11 	516枫丹卡布狄斯堡 浊水幻灵（600_1，200_1）
0	1	0	0	4	0	0	4	8.90 	517枫丹莫尔泰区 浊水幻灵（200_4）
0	1	0	0	3	0	0	3	11.11 	518枫丹佩特莉可镇 浊水幻灵（200_3）
0	0	1	0	2	1	1	0	9.59 	601纳塔奥奇（600_1，400_1）次数盾
0	0	1	0	3	3	0	0	13.46 	602纳塔奥奇（600_3）次数盾
0	0	1	0	4	4	0	0	11.01 	603纳塔奥奇（600_4）次数盾
0	0	1	0	12	0	3	9	8.60 	604纳塔奥奇（400_3，200_9）次数盾
0	0	1	0	1	1	0	0	9.84 	605纳塔奥奇（600_1）次数盾
0	0	1	0	4	0	2	2	6.69 	606纳塔奥奇（400_2，200_2）次数盾
0	0	0	0	2	0	0	2	10.00 	607纳塔奥奇东南岛（200_2）
0	0	0	0	5	0	0	5	5.41 	608纳塔城（200_5）
0	0	0	0	3	0	0	3	4.51 	609纳塔溶水域南（200_3）
0	0	0	0	1	0	0	1	4.76 	610硫晶支脉（200_3）
0	0	0	0	1	0	0	1	10.74 	611纳塔火山安饶之野东北边缘（200_1）
0	0	0	0	2	1	0	1	12.97 	612纳塔火山安饶之野入口（600_1，200_1）
0	0	0	0	1	0	0	1	2.13 	613纳塔火山孑遗的留迹 炉壳山鼬（200_1）
0	0	0	0	1	0	0	1	5.58 	614纳塔火山安饶之野南 炉壳山鼬（200_1）
0	0	0	0	1	0	0	1	4.31 	615纳塔火山安饶之野西 炉壳山鼬（200_1）
0	0	0	0	2	0	0	2	4.44 	616纳塔火山安饶之野西北海滩（200_2）
